No.,Instance_number,author_guid,account_age,author_type,average_hashtags,average_links,average_minutes_between_posts,average_post_lenth,average_posts_per_day_active_days,average_posts_per_day_total,average_user_mentions,default_profile,default_profile_image,friends_followers_ratio,number_followers,number_friends,number_of_crawled_posts,number_of_posts,Cluster,Cluster
619,4151,70aff3c62e8f341e9ab7fecb75ba7068,183,?,0,2,9068.94375,12.777778,1.5,192,0,1,0,0.39,100,39,9,35232,cluster1,
620,4634,7d21ff28ed923e888543f8820f359aed,183,?,0,1.866667,1273.859524,11.533333,3,213,0,1,0,0.321429,112,36,15,39061,cluster1,
621,4033,6d269b36fec8337ba6a592ff6adc7349,181,?,0,2,2735.578571,16.875,1.333333,205,0,1,0,0.541667,72,39,8,37271,cluster1,
622,7927,d952eda660c936ec8376d365243bf95a,181,?,0,2,2812.655556,13.428571,1.166667,205,0,1,0,0.465116,86,40,7,37200,cluster1,
623,8363,e674848d958d36ccb26faa2e73db2835,179,?,0,2,17.8,15.333333,3,205,0,1,0,0.930233,43,40,3,36832,cluster1,
624,8973,f75bdb174fbe3515a55b1eb8562bd137,179,?,0,2,2491.729167,15.555556,1.5,209,0,1,0,1.212121,33,40,9,37455,cluster1,
625,3895,69c6c6609ba7322e8097c977244b70c4,178,?,0,2,1887.686364,17.083333,2.4,215,0,1,0,0.291971,137,40,12,38347,cluster1,
626,4968,8581eb8d202333eebc8de0b5105f4953,178,?,0,0.4,4067.895833,9.8,1.25,757,0,1,0,0,192,0,5,134861,cluster1,
627,6582,b3f643313bf93b72a242c2c8b033f353,178,?,0,2,2080.13,18.363636,1.571429,1408,0,1,0,0,310,0,11,250688,cluster1,
628,2251,3bdc375e98e73fabae04f432ef49bd90,177,?,0,2,1237.334375,19.294118,2.833333,1147,0,1,0,0,173,0,17,203124,cluster1,
629,5666,9a21000285b13cf4b9096f0f71ef0a29,176,?,0,1.8,3856.204167,14.8,1.25,39,0,1,0,0.947578,3014,2856,5,6912,cluster1,
630,5409,92287afd9fc43c78918541e80b24ea79,175,?,0,0,?,0,1,545,0,1,0,0,94,0,1,95540,cluster1,
631,1265,21ab5d644cf6373b99978a5e0805fcfc,171,?,0,1.818182,3450.445238,17.818182,2.2,1173,0,1,0,0,225,0,22,200594,cluster1,
632,4660,7db9663d8a15307891cf77aede77a8b5,171,?,0,0,?,3,1,1321,0,1,0,0,608,0,1,226010,cluster1,
633,3719,64df4b3eb15a3df4ad82ed0c75f1f1c8,161,?,0,0.525,1876.923932,13.05,3.333333,58,1.1,0,0,0.292906,874,256,40,9491,cluster1,
634,8410,e7e0654444343918b991a0456b9e2871,160,?,0,2,6403.29697,17.833333,1.5,821,0,1,0,0,200,0,12,131379,cluster1,
635,1015,1a8a9bfe49a4332cbdafeb0b9c3d6fff,154,?,0,0,?,2,1,553,1,0,0,0.809656,1802,1459,1,85225,cluster1,
636,577,0fd83841a75a325c96e9d0766c2e3caa,153,?,0,0,?,20,1,445,1,1,0,0.001831,2731,5,1,68175,cluster1,
637,1551,2931107e92383dcaaf72a52d866b7a0d,145,?,0,2,3849.270175,19.3,2.857143,1483,0,1,0,0,210,0,20,215054,cluster1,
638,3698,6442c27b19c034feaf9d16c1cea7ee5b,144,?,0,2,1735.05,18.5,1,1134,0,1,0,0,172,0,2,163324,cluster1,
639,2119,384663e0cff435518c9aa21dfe09bc45,135,?,0,1.913043,949.123485,18.173913,2.3,1198,0,1,0,0,206,0,23,161847,cluster1,
640,5230,8d679d2cd0db39fab75b231dfe189dde,133,?,0,2,989.916667,19.047619,2.333333,1322,0,1,0,0,221,0,21,175907,cluster1,
641,538,0ede32d12ad23ddc90a7b9f699080019,132,?,0,2,3748.843333,15.5,2,156,0,1,0,1.176471,34,40,6,20630,cluster1,
642,5058,8814f2e23b783323a819028c3acb7173,132,?,0,0.995146,118.893922,16.239482,56.181818,23,0,1,0,0,5,0,618,3061,cluster1,
643,8058,dccf3aaf4a2c3fdaa787b4bcb3f39da3,130,?,0,0,?,20,1,617,1,1,0,0,4698,0,1,80270,cluster1,
644,6450,b0c9fd01e45733718bc1691fec0aecce,129,?,0,2,2.883333,16,3,290,1,1,0,0.443855,1131,502,3,37515,cluster1,
645,9201,fe257e269cce3bd38f6bd1220a01b64b,129,?,0,1,8013.641667,20.333333,1,1398,0,1,0,0,265,0,3,180382,cluster1,
646,424,0bbbd889c8dc3295b324a08ceae456ae,124,?,0,1.2,3947.1125,18.6,1.666667,838,0,0,0,0,1224,0,5,103978,cluster1,
647,5155,8af1fa146ac0319988d8115bba9f45c4,115,?,0,0,215.15,9.5,2,2608,1,1,0,0.000163,6123,1,2,299981,cluster1,
648,8202,e142ed216ecd3fef938f250e6d7f2780,114,?,0,1.5,525.383333,9.5,1,631,0,1,0,0.030075,266,8,2,71969,cluster1,
649,6425,b00b040e7c5f358b802b5b0fab8a5f77,113,?,0,2,2743.069048,19.875,1.142857,1298,0,1,0,0,176,0,8,146760,cluster1,
650,2526,4452150b01693ed39814c8e4ac2bf379,110,?,0,0,?,0,1,1115,0,0,0,0,339,0,1,122702,cluster1,
651,7145,c32d7deaa51131dd8750b55d723e2d25,101,?,0,1,309.406061,15.75,4,108,0,1,0,2,34,68,12,10970,cluster1,
652,2864,4dc999ac48df3d6a8b1dfcd6a3702d18,98,?,0,2,675.438095,16.75,2,1192,0,1,0,0,170,0,8,116866,cluster1,
653,6922,bd75c5614cab3283859b7b9467939f1e,96,?,0,0,?,10,1,485,1,0,0,3.193218,1563,4991,1,46646,cluster1,
654,8644,eeacdf738a72370996557066f3c2433f,96,?,0,1.92,851.866667,18.52,3.125,1224,0,1,0,0,176,0,25,117513,cluster1,
655,1569,29c1aeb59e893197b33523c99da63b67,95,?,0,0,?,17,1,1545,3,0,0,0.000871,5739,5,1,146805,cluster1,
656,6472,b146018d17b93f3799d4153558c42e12,95,?,0,0.5,4979.866667,16.5,1,172,1,0,0,0.160389,7513,1205,2,16400,cluster1,
657,1645,2bbfe1860c7b31a3ab78780f5bedffd0,93,?,0,1.913043,18.337879,17.086957,23,111,0,1,0,1.25,16,20,23,10348,cluster1,
658,3323,5acbaa215a003cc096297cb442f30bcb,93,?,0,2,93.604167,16.2,5,74,0,1,0,4.347826,23,100,5,6936,cluster1,
659,6482,b18afb2aa09e3ce6bf37de78499b659d,93,?,0,2,35.891667,16.8,5,116,0,1,0,1.904762,21,40,5,10872,cluster1,
660,7877,d7ddadcf1deb3ba9b9ceedda6612bfd9,93,?,0,1,1925.936111,12.571429,1.75,4,0.857143,1,0,1.666667,9,15,7,429,cluster1,
661,5735,9c2d5dd5571631e796d554803e2005b8,86,?,0,2,?,12,1,518,0,1,0,0,29,0,1,44558,cluster1,
662,2305,3d7a2e1fb3ed3a63b87fe50dd01c84cb,81,?,0,2,?,20,1,1037,0,1,0,0.280822,146,41,1,84060,cluster1,
663,5084,88a581c3bc9737a3b963e17250a32195,81,?,0,2,1725.881667,18.818182,2.2,1132,0,1,0,0,154,0,11,91704,cluster1,
664,2353,3f240bd4515f3ff4b0c836d4b5a9b52c,78,?,0,2,?,19,1,669,1,0,0,0.073593,462,34,1,52194,cluster1,
665,7985,db298fa92be930d4a6b7ace8d214ed0a,67,?,0,0,?,17,1,959,3,0,0,0,3046,0,1,64254,cluster1,
666,4402,76fc820f5c88302e9bf1f52a7c7da41c,64,?,0,0.25,1323.533333,9.75,1.333333,38,0,0,0,0.032577,6078,198,4,2485,cluster1,
667,6053,a56be32e4a4c386fbe7878d1ed87d93e,59,?,0,2,775.266667,20.5,2,569,0,1,0,0,59,0,4,33579,cluster1,
668,3532,60032c105937343fb3b5a9bf5d54b843,58,?,0,2,2759.608333,17.857143,2.333333,373,0,1,0,0,57,0,7,21655,cluster1,
669,5064,88278286e5d63886aad38c824879671e,58,?,0,2,2138.527778,16.6,1.428571,369,0,1,0,0,65,0,10,21431,cluster1,
670,8080,dde05d39c6353499bbc9d2087653f8fb,58,?,0,2,2675.983333,19.125,1.142857,388,0,1,0,0,76,0,8,22536,cluster1,
671,8096,de5a8677c2de3d49812af6e3d21d8512,58,?,0,2,3208.55,19.833333,1.5,388,0,1,0,0,69,0,6,22544,cluster1,
672,1843,313449fc7ec630d5977fde209057f6a4,57,?,0,2,1633.111111,16.692308,1.857143,774,0,1,0,0,70,0,13,44154,cluster1,
673,2986,5121cebaf0cb3a9c846344a0017edeb0,57,?,0,1.75,1240.372222,18.125,2.666667,340,0,1,0,0,65,0,16,19417,cluster1,
674,4443,77e0c36c62853572bb882c1fac2061af,57,?,0,2,788.055556,16.285714,1.75,258,0,1,0,0,44,0,7,14722,cluster1,
675,1460,26f8d3f9c24e3000be09bc0b81dcbea0,56,?,0,2,10362.31429,17.875,1.6,175,0,1,0,0,28,0,8,9812,cluster1,
676,4291,73d8a89104973c409d044732ad210ba7,56,?,0,2,1742.95,16.181818,2.75,303,0,1,0,0,52,0,11,17021,cluster1,
677,772,14c2c5e5bf2633c4b2fd732d4a34e47f,55,?,0,1.5,827.072222,17.5,2,434,0,1,0,0,60,0,4,23922,cluster1,
678,121,031566de02ff356bb2a9acff06fea5f7,54,?,0,1.9,947.149123,17.95,2,436,0,1,0,0,67,0,20,23580,cluster1,
679,8676,ef75bdadce5a32e4a346f942dc7863fe,54,?,0,2,1690.636667,16.363636,1.571429,446,0,1,0,0,70,0,11,24103,cluster1,
680,9084,faa55b97f874368bb3d98b4fcf4cd8a6,54,?,0,2,7952.388095,18.5,4,754,0,1,0,0,68,0,8,40720,cluster1,
681,3052,531acf30a1d4318ca459c03b1096a100,53,?,0,2,1753.624074,17.4,1.666667,482,0,1,0,0,63,0,10,25581,cluster1,
682,8596,ed113776e50c3839a9f4d38e110392ec,53,?,0,1.333333,496.153333,17.5,3,413,0,1,0,0,37,0,6,21932,cluster1,
683,2229,3b5f38a1e3b93d0bb54e507bcfb8d407,52,?,0,1,2655.961111,14,2.333333,0,0,1,0,0,2,0,7,26,cluster1,
684,4441,77c89b912e693782847d003b71783eac,52,?,0,2,1208.506667,19,1.777778,372,0,1,0,0,60,0,16,19348,cluster1,
685,5459,93d5731b0ed634d8baa88fffae9a5359,52,?,0,2,1690.69,17.363636,1.571429,396,0,1,0,0,56,0,11,20599,cluster1,
686,6772,b8bfd8f8457732a482addd3c968dc3b1,51,?,0,2,775.105072,19.166667,3,360,0,1,0,0,48,0,24,18388,cluster1,
687,7119,c2a90f6af61f363ebdf06df4c0e0bf38,51,?,0,2,1480.444872,16.642857,1.555556,363,0,1,0,0,49,0,14,18519,cluster1,
688,7764,d41a4769f19a3510be8d5c516632e245,51,?,0,1.9,897.327193,18.05,4,358,0,1,0,0,47,0,20,18298,cluster1,
689,8232,e22e751a5d1d30d3b8366f1f1593c6a9,50,?,0,2,1658.222222,18.8,1.666667,950,0,1,0,0,89,0,10,47527,cluster1,
690,8592,ecfd882324c43300a3ce1ca620a930ec,50,?,0,2,2791.663333,16.666667,1.5,345,0,1,0,0,53,0,6,17265,cluster1,
691,2874,4e029915415a3200b12d6d4561e213c3,49,?,0,2,158.483333,17.166667,6,212,0,1,0,0,21,0,6,10396,cluster1,
692,1975,34a57c33e5a136eba2822d1907d6b8d1,47,?,0,1.333333,641.791667,17,3,204,0,1,0,0,26,0,3,9629,cluster1,
693,2934,4fbb8c26ab9c333cb0d0967fbcf72194,46,?,0,2,759.833333,18.875,1.6,294,0,1,0,0,23,0,8,13524,cluster1,
694,2127,387561f1e4a43b06aa5b29cb452dd235,45,?,0,2,658,18.9,2.5,278,0,1,0,0,23,0,10,12551,cluster1,
695,3741,656a26ae508f38828d8f79a120e3a371,45,?,0,2,894.679167,16.6,2.5,291,0,1,0,0,39,0,5,13136,cluster1,
696,112,02c78547ab4a3c45925d52d253ac0335,44,?,0,2,573.55,17.333333,3,314,0,1,0,0,32,0,3,13842,cluster1,
697,5643,997d4456d80434d3b8366af444fbb31d,44,?,0,2,466.977778,18.8,3.333333,265,0,1,0,0,33,0,10,11665,cluster1,
698,6517,b2894d1631a63248b820ed8d110f898f,44,?,0,2,392.647619,18.6,3,280,0,1,0,0,27,0,15,12336,cluster1,
699,5480,94755c37df273e9c956be7d985974136,43,?,0,1.826087,720.083333,17.608696,2.875,387,0,1,1,0,24,0,23,16661,cluster1,
700,994,19f25b45c57d3d4f9d4e77e5a9841ce0,40,?,0,1.2,716.183333,17,1.666667,734,0,1,0,0,62,0,5,29368,cluster1,
701,3587,61acb9c5b20d3c26998c2ad1c31b2838,39,?,0,2,?,19,1,749,0,1,0,0,61,0,1,29230,cluster1,
702,3510,5f8bc784fe373fef8f0bffa5f4aeb0a9,37,?,0,2,601.894444,20.25,1.333333,765,0,1,0,0,65,0,4,28327,cluster1,
703,8114,dec8e12e83ca34e4bcda03a9f2e0ab2c,37,?,0,2,2676.207143,18.5,2,871,0,1,0,0,72,0,8,32245,cluster1,
704,1066,1c344189a4413d73a7b9b0aa9330fbdd,36,?,0,2,679.633333,18,2,711,0,1,0,0,52,0,2,25612,cluster1,
705,8983,f7afab3a73db3b2796910a1fe26817a0,35,?,0,2,1960.783333,15.5,1,757,0,1,0,0,63,0,2,26526,cluster1,
706,1184,1f7ea33394023fd6b9d2c9a0c67a8065,34,?,0,2,787.952778,16.285714,2.333333,704,0,1,0,0,60,0,7,23956,cluster1,
707,7283,c71110875e3c3a44a34fad8219637fd0,34,?,0,1,798.904167,20.666667,4.2,27,0,1,0,2.857143,7,20,21,930,cluster1,
708,6555,b387e2f13df33146987dcc6569510782,33,?,0,2,951.916667,18.666667,1.5,700,0,1,0,0,56,0,3,23102,cluster1,
709,6211,a9b87e0bf0fd31f1a8c93feebcedba3a,32,?,0,2,2062.758333,17.666667,1,682,0,1,0,0,72,0,3,21832,cluster1,
710,1604,2ab26e80f1373fc2889d029eb1fbe753,30,?,0,1.333333,402.991667,16.333333,1.5,690,0,1,0,0,64,0,3,20715,cluster1,
711,5320,8fc24255eb923ceca42c3823fa7bddfb,30,?,0,2,766.999167,18.619048,3,825,0,1,0,0,68,0,21,24764,cluster1,
712,5228,8d6629968d103bad8db6a7421a66b6e0,29,?,0,1.555556,358.277083,17.666667,3,647,0,1,0,0,62,0,9,18774,cluster1,
713,6018,a49d07542df9329dac4e9c98829217d3,29,?,0,2,421.866667,19,1,701,0,1,0,0,63,0,2,20341,cluster1,
714,2573,45a4ac5c0b773069bc10524662145e9e,28,?,0,2,2754.833333,20,1,717,0,1,0,0,54,0,2,20079,cluster1,
715,3481,5edee6eef46f3ee3928a0cde12010c3f,28,?,0,0,840.007143,0,1.6,46,0,1,0,0,18,0,8,1299,cluster1,
716,4090,6ee6ddfcfc073913b31192bac2bec5df,28,?,0,2,261.016667,19,4,670,0,1,0,0,55,0,4,18771,cluster1,
717,6169,a87bdeeeea273d5287ddde5b8ceef1d6,28,?,0,0,167.559505,1,11.727273,15,0,1,0,0.333333,6,2,129,424,cluster1,
718,9023,f8e1365cad063933ac6134f9faf41331,28,?,0,2,2531.983333,19.5,1,630,0,1,0,0,62,0,2,17662,cluster1,
719,795,15398ed3b08137ce841822504babfd5c,27,?,0,2,1178.196078,18.222222,2.571429,861,0,1,0,0,63,0,18,23266,cluster1,
720,4179,714a482bf20a3543af262169dc38a193,27,?,0,2,867.141667,18.333333,1.5,615,0,1,0,0,49,0,3,16630,cluster1,
721,5482,948df9e9b5633b228e7bb68977aeed77,27,?,0,2,465.5,19.833333,3,621,0,1,0,0,47,0,6,16767,cluster1,
722,6889,bc52c49974b23a3ba8c6f3c2f841c579,27,?,0,2,2405.675,17.111111,1.8,881,0,1,0,0,61,0,9,23793,cluster1,
723,998,1a07276f4f193ed8873e32a435b55bab,26,?,0,2,2079.693333,18,1.375,904,0,1,0,0,68,0,11,23524,cluster1,
724,6058,a581b789af8f33f78b2c73b4aab08950,26,?,0,2,1485.821429,19.066667,2.142857,967,0,1,0,0,74,0,15,25150,cluster1,
725,6361,ae2d7d0fe1373fb2a7e77af1ac658a00,26,?,0,2,1374.583333,18.5,1.333333,714,0,1,0,0,58,0,4,18570,cluster1,
726,7967,dab95d5c5d91330d97cc6c9758210cab,26,?,0,2,649.527778,18.428571,3.5,714,0,1,0,0,52,0,7,18580,cluster1,
727,328,08f4bf45e20c303aac0424906b55c183,25,?,0,1,?,19,1,763,0,1,0,0,47,0,1,19096,cluster1,
728,2059,36c0e4dce7903271805d8b2c9f363d95,25,?,0,2,835.788889,18.5,2,677,0,1,0,0,45,0,4,16946,cluster1,
729,5536,95d9e8a59d5c37fa98b3a64f8ff6096e,25,?,0,2,150.046667,18.166667,6,696,0,1,0,0,53,0,6,17405,cluster1,
730,7209,c5206f40f84c31f6a71502cd4857484d,25,?,0,0,?,18,1,685,1,1,0,1.645161,62,102,1,17147,cluster1,
731,23,00c94ea60bcf3fce8b45b34fcb25191e,24,?,0,2,198.516667,17,5,649,0,1,0,0,44,0,5,15583,cluster1,
732,414,0b72bbce9f35324d86a11065039792e0,24,?,0,2,699.766667,19,1.5,659,0,1,0,0,43,0,3,15838,cluster1,
733,890,17647a75d3a7373399b065e643fe29bb,24,?,0,2,507.69,16.833333,3,647,0,1,0,0,44,0,6,15547,cluster1,
734,4391,76b1264fb01330b78dcd3bc577d1a4b9,24,?,0,2,902.816667,19.666667,1,653,0,1,0,0,47,0,3,15673,cluster1,
735,6727,b7863d94319239a585accec59677c89a,23,?,0,2,?,16,1,661,0,1,0,0,45,0,1,15212,cluster1,
736,6811,b9f5306d9930330fb9820bbd2e525efc,23,?,0,2,2035.727778,17.7,1.666667,910,0,1,0,0,72,0,10,20940,cluster1,
737,7434,cae6ecaaaece301385c9983dc6e46320,23,?,0,2,2061.888333,17.090909,1.571429,898,0,1,0,0,55,0,11,20668,cluster1,
738,8387,e715851f0cfb336fbecc5194a2955d95,23,?,0,2,1755.009259,18,1.428571,913,0,1,0,0,76,0,10,21016,cluster1,
739,1650,2be4a2338fb73461aced5a8a094d9f7e,22,?,0,2,?,19,1,570,0,1,0,0,35,0,1,12549,cluster1,
740,1778,2f4b0e005a863986aff86ab849c7de46,22,?,0,1,64.25,17,2,649,0,1,0,0,46,0,2,14291,cluster1,
741,1884,325234c51c62345594c41f1977e05438,22,?,0,2,92.608333,20.333333,1.5,601,0,1,0,0,42,0,3,13237,cluster1,
742,3730,6521fb884428334ab578e04d36c11348,22,?,0,1.5,954.916667,17,1.333333,619,0,1,0,0,44,0,4,13629,cluster1,
743,5725,9bd77dfcb58031229d41afbfc88cd1bf,22,?,0,2,61.561111,19,2,735,0,1,0,0,52,0,4,16188,cluster1,
744,8600,ed2fc1bab95b32768e550f4f87bf1d9e,22,?,0,2,903.727778,18.5,2,626,0,1,0,0,50,0,4,13778,cluster1,
745,269,0720de1a1fb63c568d9da3a8c30dca97,21,?,0,2,581.25,20.4,2.5,590,0,1,0,0,52,0,5,12405,cluster1,
746,1067,1c344629f96c368da19931948c11b9a0,21,?,0,1.818182,999.574603,18.136364,2.444444,854,0,1,0,0,61,0,22,17940,cluster1,
747,4998,8649e9e93dcf31509b0b65dcab6cd46b,21,?,0,2,2531.9,19.5,1,558,0,1,0,0,38,0,2,11718,cluster1,
748,5857,9f982df35b74391bac32f403212c0274,21,?,0,1.714286,659.447222,17.142857,1.75,604,0,1,0,0,40,0,7,12699,cluster1,
749,1668,2c8af33a1b0d398bb59c0dd49f58b0a1,20,?,0,2,952.15,18.666667,1,570,0,1,0,0,35,0,3,11409,cluster1,
750,6694,b6a71fbd71b33c40ba4d36b577f9d81c,20,?,0,2,1152.432143,17.733333,2.5,626,0,1,0,0,51,0,15,12534,cluster1,
751,8303,e46a3a4c34723cf5853a3fde80df750a,20,?,0,1.916667,826.616667,18.375,3.428571,835,0,1,0,0,57,0,24,16714,cluster1,
752,1637,2ba10f7c68063223947e1002efca5c4b,19,?,0,2,228.691667,19.2,2.5,500,0,1,0,0,39,0,5,9508,cluster1,
753,2001,3542e5b4b1cd351ebe7044dc154015c6,19,?,0,0,?,10,1,438,1,0,0,0.765604,1506,1153,1,8328,cluster1,
754,4279,73956027d20137c38bf174a1dec02609,18,?,0,1,?,19,1,1695,0,1,0,0,202,0,1,30518,cluster1,
755,7248,c5fdb02d0c983044ba34d36d543d8dd9,18,?,0,0.5,4893.283333,16.5,1,2091,1,1,0,3.638202,1335,4857,2,37655,cluster1,
756,8243,e2645abafe6d36ad8f046ba340ec3448,16,?,0,2,150.146667,19.333333,6,365,0,1,0,0,32,0,6,5843,cluster1,
757,3390,5c8169db5a34372f9558b487c38e30e5,14,?,0,1,?,15,1,2105,0,1,0,0,91,0,1,29480,cluster1,
758,4326,74dc3343b9ca31d2b06b8f47f1b548d5,13,?,0,1,1125.366667,15.5,2,2044,0,1,0,0,59,0,2,26579,cluster1,
759,8581,eca29ddc55283f1aa138311190e478a2,12,?,0,1.5,5.476667,19,6,8,0.833333,0,0,5.416667,12,65,6,98,cluster1,
760,7091,c2069925daa73a498013f1b3ac3fbad5,11,?,0,1,?,17,1,1987,0,1,0,0,60,0,1,21861,cluster1,
761,3016,522c904eac81326f9c234cce05de9e8c,10,?,0,2,583.998718,17.5,2.333333,731,0,1,0,0,15,0,14,7312,cluster1,
762,7342,c87fa0865cc63115a73f208c746396ea,10,?,0,1,?,19,1,1803,0,1,0,0,59,0,1,18035,cluster1,
763,1366,240442fdc2433cc4a4c1a70126191266,9,?,0,1,569.053704,19.1,2.5,211,0,1,0,3.888889,45,175,10,1904,cluster1,
764,2791,4b8b5435656d394cada249f0e3b8f744,9,?,0,2,471.425,19.846154,2.6,569,0,1,0,0,17,0,13,5121,cluster1,
765,3429,5d6be81621233ba688ab32de46971594,7,?,0,2,617.122727,14.333333,2.4,1160,0,1,0,1.782609,23,41,12,8123,cluster1,
766,5129,8a17c322c389341b95ed8e5599f3c103,6,?,0,1,?,14,1,1536,0,1,0,0,30,0,1,9221,cluster1,
767,5881,a039a757e2d23b55baf9b7e9d2dcb510,6,?,0,2,420.40303,19.333333,3,809,0,1,0,0,11,0,12,4855,cluster1,
768,8920,f5dcf78eb9e33bee81a7cc0a7d1a57e6,5,?,0,2,558.329167,20.2,2.5,415,0,1,0,0,5,0,5,2075,cluster1,
769,7267,c69769c907993b1e817f5e3335cbc265,4,?,0,2,121.884848,19.75,6,1418,0,1,0,0,18,0,12,5675,cluster1,
770,8800,f2c3b2d0480e3a01b3a496771a614035,4,?,0,2,19.25,13.75,4,64,0,1,0,0,0,0,4,256,cluster1,
